Bathroom_X,Bathroom_Y,Traffic
38.095,21.8564,860
91.6917,8.8745,363
81.0983,47.1083,991
12.5532,67.7156,1278
68.0487,33.2618,607
41.5207,88.7037,2092
66.7354,14.3669,319
